X,Y,RedChiSq,Amp1,Amp2,Amp3,Amp4,Amp5,Amp6,Amp7,Amp8,Amp9,Amp10,Wvl1,Wvl2,Wvl3,Wvl4,Wvl5,Wvl6,Wvl7,Wvl8,Wvl9,Wvl10,Sig1,Sig2,Sig3,Sig4,Sig5,Sig6,Sig7,Sig8,Sig9,Sig10
0, 0, 0.7043, 111.7634, 58.5848, 581.3759, 262.1185, 335.2901, 175.7543, 158.2157, 70.5579, 134.2419, 29.3495,6552.8135, 6551.2604, 6567.5752, 6566.0187, 6588.2393, 6586.6778, 6721.326, 6719.733, 6735.7165, 6734.1201,1.666, 1.0782, 1.666, 1.0782, 1.666, 1.0782, 1.666, 1.0782, 1.666, 1.0782
0, 1, 1.193, 94.2087, 93.077, 492.2544, 323.7602, 282.6261, 279.2309, 132.549, 80.8031, 102.3928, 70.4919,6553.0198, 6551.4225, 6567.782, 6566.1811, 6588.4467, 6586.8408, 6721.5376, 6719.8993, 6735.9285, 6734.2867,1.62, 1.1697, 1.62, 1.1697, 1.62, 1.1697, 1.62, 1.1697, 1.62, 1.1697
0, 2, 0.898, 25.305, 153.5695, 81.7713, 698.1834, 75.915, 460.7084, 37.9113, 207.3859, 9.8823, 150.4223,6555.3651, 6552.1882, 6570.1325, 6566.9485, 6590.8046, 6587.6106, 6723.9432, 6720.6846, 6738.3392, 6735.0737,1.7305, 1.5562, 1.7305, 1.5562, 1.7305, 1.5562, 1.7305, 1.5562, 1.7305, 1.5562
0, 3, 1.2976, 20.9038, 162.126, 49.4223, 767.7414, 62.7114, 486.378, 27.3474, 200.1164, 10.7157, 148.7683,6556.1418, 6552.3028, 6570.9111, 6567.0634, 6591.5856, 6587.7258, 6724.7399, 6720.8022, 6739.1377, 6735.1915,1.3615, 1.5836, 1.3615, 1.5836, 1.3615, 1.5836, 1.3615, 1.5836, 1.3615, 1.5836
0, 4, 1.3123, 59.6773, 98.612, 251.5529, 537.4353, 179.032, 295.8359, 65.4619, 125.5184, 39.781, 98.7417,6553.5147, 6551.9062, 6568.278, 6566.6659, 6588.9442, 6587.3271, 6722.0452, 6720.3954, 6736.4372, 6734.7839,1.6783, 1.3433, 1.6783, 1.3433, 1.6783, 1.3433, 1.6783, 1.3433, 1.6783, 1.3433
0, 5, 1.0527, 107.8531, 50.2796, 534.7295, 285.7787, 323.5592, 150.8387, 164.2909, 22.2981, 97.4964, 21.6682,6552.7762, 6551.0968, 6567.5379, 6565.8546, 6588.2018, 6586.5132, 6721.2878, 6719.5651, 6735.6782, 6733.9518,1.4845, 0.936, 1.4845, 0.936, 1.4845, 0.936, 1.4845, 0.936, 1.4845, 0.936
0, 6, 0.7148, 85.9569, 32.7299, 426.9898, 245.3086, 257.8707, 98.1898, 143.8997, 2.7727, 84.2209, 40.054,6552.8344, 6551.537, 6567.5961, 6566.2959, 6588.2602, 6586.9559, 6721.3474, 6720.0167, 6735.7379, 6734.4043,1.6866, 1.2216, 1.6866, 1.2216, 1.6866, 1.2216, 1.6866, 1.2216, 1.6866, 1.2216
0, 7, 1.1442, 23.8357, 77.3626, 0.0, 551.608, 71.5071, 232.0879, 28.9395, 97.7489, 41.9466, 53.6894,6553.6841, 6552.6061, 6568.4478, 6567.3674, 6589.1145, 6588.0308, 6722.219, 6721.1133, 6736.6113, 6735.5033,2.3364, 1.6785, 2.3364, 1.6785, 2.3364, 1.6785, 2.3364, 1.6785, 2.3364, 1.6785
0, 8, 1.1967, 9.8575, 95.487, 4.2645, 507.2614, 29.5725, 286.461, 21.887, 109.3924, 0.0, 93.9727,6558.9282, 6552.966, 6573.7037, 6567.728, 6594.387, 6588.3926, 6727.598, 6721.4824, 6742.0019, 6735.8732,1.3087, 1.6976, 1.3087, 1.6976, 1.3087, 1.6976, 1.3087, 1.6976, 1.3087, 1.6976
0, 9, 0.5812, 8.4222, 88.4372, 0.0, 535.362, 25.2665, 265.3117, 12.3878, 109.5095, 3.5368, 77.4864,6557.2298, 6552.881, 6572.0015, 6567.6429, 6592.6794, 6588.3071, 6725.8559, 6721.3952, 6740.256, 6735.7858,1.4583, 1.6687, 1.4583, 1.6687, 1.4583, 1.6687, 1.4583, 1.6687, 1.4583, 1.6687
0, 10, 1.6417, 84.1618, 2.8789, 473.59, 125.2161, 252.4853, 8.6367, 89.8511, 37.8981, 63.8592, 29.6195,6552.6887, 6553.6654, 6567.4501, 6568.429, 6588.1138, 6589.0957, 6721.198, 6722.1998, 6735.5882, 6736.5921,1.7327, 0.936, 1.7327, 0.936, 1.7327, 0.936, 1.7327, 0.936, 1.7327, 0.936
0, 11, 1.0313, 86.7651, 0.0, 420.2008, 191.9297, 260.2954, 0.0, 108.3458, 0.0, 64.116, 20.7273,6552.7945, 6553.2356, 6567.5562, 6567.9983, 6588.2202, 6588.6637, 6721.3065, 6721.759, 6735.697, 6736.1504,1.7582, 0.936, 1.7582, 0.936, 1.7582, 0.936, 1.7582, 0.936, 1.7582, 0.936
0, 12, 1.175, 89.4183, 3.0592, 478.3185, 189.5053, 268.2549, 9.1775, 96.5505, 30.5841, 78.8761, 14.8333,6552.8387, 6553.8775, 6567.6005, 6568.6417, 6588.2646, 6589.309, 6721.3518, 6722.4174, 6735.7423, 6736.8102,1.6318, 0.936, 1.6318, 0.936, 1.6318, 0.936, 1.6318, 0.936, 1.6318, 0.936
0, 13, 1.5912, 83.805, 2.6563, 519.6468, 169.9359, 251.4149, 7.9689, 85.3348, 33.7933, 65.9726, 26.0584,6552.8675, 6553.7481, 6567.6293, 6568.5119, 6588.2935, 6589.1789, 6721.3813, 6722.2846, 6735.7719, 6736.6771,1.6642, 0.936, 1.6642, 0.936, 1.6642, 0.936, 1.6642, 0.936, 1.6642, 0.936
0, 14, 0.8438, 84.3348, 32.2618, 655.943, 205.0638, 253.0043, 96.7853, 112.8213, 37.0868, 79.1392, 45.5444,6553.4301, 6551.2911, 6568.1932, 6566.0494, 6588.8592, 6586.7087, 6721.9585, 6719.7645, 6736.3503, 6734.1516,1.3044, 0.9365, 1.3044, 0.9365, 1.3044, 0.9365, 1.3044, 0.9365, 1.3044, 0.9365
0, 15, 1.4278, 33.2295, 52.6764, 0.0, 706.2487, 99.6886, 158.0292, 112.292, 0.0, 76.8278, 3.7258,6553.1926, 6552.9452, 6567.9551, 6567.7072, 6588.6204, 6588.3716, 6721.7148, 6721.461, 6736.1061, 6735.8518,1.9927, 1.53, 1.9927, 1.53, 1.9927, 1.53, 1.9927, 1.53, 1.9927, 1.53
0, 16, 1.1155, 85.7192, 8.396, 509.7329, 290.809, 257.1576, 25.188, 80.4452, 33.1499, 44.2472, 67.9126,6552.5857, 6553.4164, 6567.3469, 6568.1795, 6588.0102, 6588.8454, 6721.0923, 6721.9444, 6735.4823, 6736.3362,1.6347, 0.936, 1.6347, 0.936, 1.6347, 0.936, 1.6347, 0.936, 1.6347, 0.936
0, 17, 1.1795, 10.2823, 74.6093, 0.0, 686.5135, 30.8469, 223.8278, 19.1433, 88.2329, 8.9235, 89.2101,6554.1703, 6552.8791, 6568.935, 6567.641, 6589.6033, 6588.3052, 6722.7177, 6721.3933, 6737.1111, 6735.7839,2.9346, 1.4869, 2.9346, 1.4869, 2.9346, 1.4869, 2.9346, 1.4869, 2.9346, 1.4869
0, 18, 0.7455, 9.3462, 74.2718, 0.0, 618.0892, 28.0387, 222.8153, 40.9086, 62.8623, 0.0, 72.6216,6553.97, 6552.9849, 6568.7344, 6567.747, 6589.4021, 6588.4116, 6722.5123, 6721.5018, 6736.9053, 6735.8926,2.7883, 1.5465, 2.7883, 1.5465, 2.7883, 1.5465, 2.7883, 1.5465, 2.7883, 1.5465
0, 19, 0.8787, 6.663, 76.3452, 0.0, 625.0571, 19.989, 229.0357, 13.9681, 102.4307, 87.0729, 0.0,6552.5066, 6553.0228, 6567.2676, 6567.785, 6587.9307, 6588.4497, 6721.0112, 6721.5407, 6735.401, 6735.9316,1.8812, 1.5821, 1.8812, 1.5821, 1.8812, 1.5821, 1.8812, 1.5821, 1.8812, 1.5821
